slug,name,date,solved,total,problems,link,tags
2026-the-2019-polish-collegiate-programming-contest-amppz-2019,The 2019 Polish Collegiate Programming Contest (AMPPZ 2019),2026.06.15,6,12,O;.;O;O;.;O;.;O;Ø;.;.;.,https://qoj.ac/contest/559,
2026-shandong-provincial-collegiate-programming-contest,2026 年山东省大学生程序设计竞赛,2026.05.25,11,13,O;.;O;Ø;O;.;O;Ø;O;Ø;O;O;Ø,https://qoj.ac/contest/3767,
